YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1998,3.1,3.9,6.7,9.1,15.7,18.2,20.9,20,14.6,11,3.3,1.4,3.5,10.5,19.7,9.6,10.83
1999,2.5,1.6,6.8,9.5,16.6,16.9,20.9,19.8,17.8,11.1,4.3,3.4,1.8,11,19.2,11.1,10.77
2000,1.3,4.8,6.8,10.6,16.4,19.7,18.4,20.4,16.4,11.9,7.2,5.2,3.2,11.3,19.5,11.8,11.44
2001,3.3,4.7,8.9,8.4,16.2,17.1,20,20.3,13,14,4.2,1.4,4.4,11.2,19.1,10.4,11.28
2002,1.2,6.1,7.6,10.3,13.2,20.3,19.7,18.4,14.9,11.4,7.6,5.4,2.9,10.4,19.5,11.3,11.01
2003,1.4,0.2,8,10.7,15.7,23.9,22.3,23.8,15.7,8.6,5.8,2.8,2.3,11.5,23.3,10,11.79
2004,2.5,3.2,5.3,10.4,13.6,18.6,19.8,19.9,16.6,13.4,5.7,2.7,2.8,9.8,19.4,11.9,10.98
2005,1.1,0.4,6.6,10.3,15.1,20.3,20.7,18.4,16.7,11.5,4.6,0.2,1.4,10.7,19.8,10.9,10.7
2006,0.1,1.2,4.9,10,14.3,19.3,23.5,16.6,17.8,13.4,7.5,3.2,0.5,9.7,19.8,12.9,10.73
2007,4.1,5.4,6.5,14.1,15.1,18.4,18.7,18.5,14.5,10.6,4,2.1,4.2,11.9,18.5,9.7,11.09
2008,3.6,3.7,5.8,9,15.6,18.3,19.8,19.1,13.9,11,6.1,1.4,3.1,10.1,19.1,10.3,10.67
2009,-0.4,1.6,6.1,12.2,16.8,18.1,20.3,21,16.4,10.4,7.6,2.1,0.9,11.7,19.8,11.5,10.96
2010,0.2,1.8,5.4,10.8,12.8,17.4,21.9,18.5,14.2,9.9,6.1,0.1,1.4,9.7,19.3,10.1,10.09
2011,2.3,3.2,7.3,13.3,16.4,17.9,17.9,20.3,17.3,11.1,6.6,4.2,1.9,12.3,18.7,11.7,11.14
2012,2.9,-2.1,8.6,10.2,15.1,19.1,19.8,20.7,15.5,11.2,7,3,1.7,11.3,19.9,11.2,11.02
2013,1.3,0.4,4.2,10.3,11.5,17,21.5,20,15.9,12.8,5.9,1.5,1.6,8.7,19.5,11.5,10.32
2014,4.1,4.8,7.8,11.8,13.5,19.1,18.4,18,16.7,13.7,8.2,4.3,3.5,11,18.5,12.9,11.47
2015,2.6,1.7,7.3,11.2,15.3,19.9,24.2,20.8,14.8,10.1,7.1,3.9,2.9,11.3,21.6,10.7,11.61
2016,4.2,5,5.7,10,13.3,17.7,20.8,20.4,18,9.9,999.9,999.9,4.4,9.7,19.6,999.9,999.9
